CANDIDATO,N. URNA,PARTIDO,LINK,N. SEGUDORES,CARGO,STATUS,Coluna 7,,61,"8,98%"
Aguinaldo Vargas,36222,AGIR,https://www.instagram.com/aguinaldo_vargas36.222/,,Deputado Estadual,,,,,
Carlos Schneider,3600,AGIR,,,Deputado Federal,,,,,
Carlos Schneider,363,AGIR,,,Senador,,,,,
Henrique Todeschini,36777,AGIR,https://www.instagram.com/naopergunteaohenrique/,,Deputado Estadual,,,,,
Jackson Martins,3636,AGIR,,,Deputado Federal,,,,,
Kerly Koch,36358,AGIR,https://www.instagram.com/KERLYKOCH/,,Deputado Estadual,,,,,
Marilene Garcia,3637,AGIR,,,Deputado Federal,,,,,
Patricia Vargas,3615,AGIR,,,Deputado Federal,,,,,
Pimentel,36007,AGIR,https://www.instagram.com/edisonpimentelmaciel/,,Deputado Estadual,,,,,
Robson Zagre,36123,AGIR,https://www.instagram.com/lordbcrobsonzagre/,,Deputado Estadual,,,,,
Silvana,36022,AGIR,https://www.instagram.com/SILVANAWALGER_/,,Deputado Estadual,,,,,
Alemão Goleiro,70300,AVANTE,https://www.instagram.com/alemaogoleirobeto/,,Deputado Estadual,,,,,
Angel,7007,AVANTE,https://www.instagram.com/ANGETUNES,,Deputado Federal,,,,,
Betão Do Imposto,70123,AVANTE,https://www.instagram.com/BETAODOIMPOSTO,,Deputado Estadual,,,,,
Claudinho Do Futebol,7040,AVANTE,https://www.instagram.com/CWS_SILVA.1304?IGSH=MWHIC2VUM2J1ATJSCW%3D%3D,,Deputado Federal,,,,,
Daiane Americo,7012,AVANTE,https://www.instagram.com/ANEAMERIC?IGSH=DWXOZJQWMZLVBZU0&UTM_SOURCE=QR,,Deputado Federal,,,,,
Davi Almeida,7070,AVANTE,https://www.instagram.com/davialmeida.7070/,,Deputado Federal,,,,,
Eleane Patriota,70022,AVANTE,https://www.instagram.com/ANERAULINO,,Deputado Estadual,,,,,
Gabriel Cruz,70100,AVANTE,https://www.instagram.com/silvagabriel.cruz/,,Deputado Estadual,,,,,
Gabriela Lanza,70555,AVANTE,https://www.instagram.com/_gabrielalanza/,,Deputado Estadual,,,,,
Heder Mamede,70777,AVANTE,https://www.instagram.com/DEPUTADO_MAMEDE?IGSH=CZAYB3BSA2TXEWHS,,Deputado Estadual,,,,,
Indio Fotografo,7090,AVANTE,https://www.instagram.com/INDIO_FOTOGRAF?IGSH=MTJ2NNBRBMFOB3PH,,Deputado Federal,,,,,
Ivo Machado,7088,AVANTE,https://www.instagram.com/IVO_MACHADO1?IGSH=ZTQZEXMYMWNTNW5S,,Deputado Federal,,,,,
Levi Rioschi,7022,AVANTE,https://www.instagram.com/LEVIRIOSCHI,,Deputado Federal,,,,,
Luizão De Chapecó,7080,AVANTE,https://www.instagram.com/luizaochapeco7080/,,Deputado Federal,,,,,
Mauri Da Lajotas,7000,AVANTE,https://www.instagram.com/MAURIDASLAJOTAS,,Deputado Federal,,,,,
Michelle Paiva,7072,AVANTE,https://www.instagram.com/mich.ellepaiva/,,Deputado Federal,,,,,
Michelli De Lima,70000,AVANTE,https://www.instagram.com/MICHELLI7731?UTM_SOURCE=QR&IGSH=DDZUNXDTCDRZCDNQ,,Deputado Estadual,,,,,
Negão Barata,70888,AVANTE,https://www.instagram.com/IDESIOFER,,Deputado Estadual,,,,,
Nilson José,70999,AVANTE,https://www.instagram.com/NILSONJOSEITAJAI,,Deputado Estadual,,,,,
Polaquinho,7001,AVANTE,https://www.instagram.com/ALEXRUDNISKI?IGSH=ATGWNHM1EWJTOHU%3D,,Deputado Federal,,,,,
Professora Angélica,7055,AVANTE,https://www.instagram.com/PROF_ANGELICAHISTORIA?IGSH=Y290EW1ZNWZZBGX1,,Deputado Federal,,,,,
Ricardo Rodrigues,7044,AVANTE,https://www.instagram.com/ricardorodrigues70kk/,,Deputado Federal,,,,,
Rodrigo Simão,7017,AVANTE,https://www.instagram.com/RODRIGOSIMAO.SJ/,,Deputado Federal,,,,,
Ruti Quinzen,7077,AVANTE,https://www.instagram.com/ruti.quinzen/,,Deputado Federal,,,,,
Sabrina Da Conceição,7013,AVANTE,https://www.instagram.com/SABRINADCONCEICAO,,Deputado Federal,,,,,
Sadi Ribeiro,70111,AVANTE,https://www.instagram.com/sadiribeirobv/,,Deputado Estadual,,,,,
Sara Melo,70222,AVANTE,https://www.instagram.com/SAAMELO_?IGSH=MWE4MMEXDWRLNWHYDG%3D%3D,,Deputado Estadual,,,,,
Sergio Marinello,7010,AVANTE,https://www.instagram.com/sergiomarinello1011/,,Deputado Federal,,,,,
Willian Esteves,70700,AVANTE,https://www.instagram.com/willianesteves.70700/,,Deputado Estadual,,,,,
Chicão Caminhoneiro 27,2710,DC,,,Deputado Federal,,,,,
Clair Da Silva,2755,DC,https://www.instagram.com/REEL/DBA5PSZRP_X/?IGSH=M3PXCZE0AXRHBTJP,,Deputado Federal,,,,,
Claudiomir Castilho Ramos,2739,DC,https://www.instagram.com/CLAUDIOMIR_R?IGSH=Z2HSC3EXNWO2DWLU,,Deputado Federal,,,,,
Djeisson Stringhini,2730,DC,https://www.instagram.com/DJEIKSSON.P.S?IGSH=MW1QN3IWB3RUCHDIZA%3D%3D&UTM_SOURCE,,Deputado Federal,,,,,
Elias De Lima,2727,DC,https://www.instagram.com/ELIASDELIMA1979?IGSH=DNEYMGJ5BGHRBMV0,,Deputado Federal,,,,,
Fran Kruck,2777,DC,https://www.instagram.com/FRAN_KRUCK?IGSH=MXHRDHRMNDLSM21VZA%3D%3D,,Deputado Federal,,,,,
Francisco Figura,2723,DC,https://www.instagram.com/PRFRANCISNETOOFICIAL?IGSH=MWNZBHQZOHA2BDNPZA%3D%3D,,Deputado Federal,,,,,
Giliardi Dorn,2799,DC,https://www.instagram.com/GILIARDIDORN_DC/,,Deputado Federal,,,,,
Jackson Soares,2789,DC,https://www.instagram.com/JACKSONESEUSTECLADOS?IGSH=MWLOCMIZMJVLDWKZYW%3D%3D,,Deputado Federal,,,,,
João Fontoura,2700,DC,,,Deputado Federal,,,,,
Leticia Paloma,2733,DC,https://www.instagram.com/LETICIAPALOMA_OFICIAL?IGSH=MTL6ZWHXA2PRYTJOCQ%3D%3D,,Deputado Federal,,,,,
Luciana Lopes,2711,DC,https://www.instagram.com/LUCIANALF45?IGSH=DGKXEGZJBXDJAJG4,,Deputado Federal,,,,,
Manoel (Ape),2700,DC,,,Deputado Federal,,,,,
Marcelo Biagiotti,2707,DC,https://www.instagram.com/MARCELOBIAGIOTTI_DEP_FED_2707/,,Deputado Federal,,,,,
Miro Do Canto Gaúcho,2701,DC,https://www.instagram.com/MIRODOKANTOGAUCHO?IGSH=MXDVBJDPBHHXCZR2YG%3D%3D,,Deputado Federal,,,,,
Sergio Da Farmacia,2722,DC,https://www.instagram.com/SERGIODAFARMACIA_OFICIAL?IGSH=MWFRETZKNTCXOXBT,,Deputado Federal,,,,,
Simone Xavier,2788,DC,https://www.instagram.com/SIMONEXAVIER_BETELFM?IGSH=MWD6OXVVM2V0B3G2AW%3D%3D&UT,,Deputado Federal,,,,,
Taize Zagonel,2744,DC,https://www.instagram.com/ZAGONELTAIZE?IGSH=OTVHC3DZMJDPDJY1,,Deputado Federal,,,,,
Tony Ramos,2712,DC,https://www.instagram.com/TONYRAMOS.2025?IGSH=MTB5AJFIDTHWDMZSEA%3D%3D,,Deputado Federal,,,,,
Adilson Girardi,15123,MDB,https://www.instagram.com/ADILSON.GIRARDI?IGSH=MWXVDWRRZWHMAZAZAG%3D%3D,,Deputado Estadual,,,,,
Angela Cad Unico,1555,MDB,https://www.instagram.com/ANGELARODRIGUESPH?IGSH=BHFTMWU3AJHLOWL4,,Deputado Federal,,,,,
Ciro,1567,MDB,https://www.instagram.com/CIROANDREQUINTINO?IGSH=MXY3YW9TD2Q4Z3NIZW%3D%3D,,Deputado Federal,,,,,
Cleiton Fossá,1500,MDB,https://www.instagram.com/CLEITON.FOSSA?IGSH=ZW8WNTJ2BGN3NJRI,,Deputado Federal,,,,,
Cris Da Saude,15700,MDB,https://www.instagram.com/CRISDASAUUDE?IGSH=MTU4YMKZZ2JPM2G1NQ%3D%3D&UTM_SOURCE=,,Deputado Estadual,,,,,
Dani Sant'Anna,1516,MDB,https://www.instagram.com/SCDANISANTANNA?UTM_SOURCE=QR,,Deputado Federal,,,,,
Delegado Jorge,15000,MDB,https://www.instagram.com/JORGELUIZKOCH?IGSH=A3Q4C3NWDW1ZAXNV,,Deputado Estadual,,,,,
Dr Natel,15055,MDB,https://www.instagram.com/DRNATEL?IGSH=MXJ5BMH4ODDICDH3DA%3D%3D,,Deputado Estadual,,,,,
Dr.Elcio,15777,MDB,https://www.instagram.com/DR.ELCIOKUHNEN?IGSH=MWVVCJZKY2M5MZFKMQ%3D%3D&UTM_SOURC,,Deputado Estadual,,,,,
Dr.Eloi,1570,MDB,https://www.instagram.com/DRELOIQUEGE?IGSH=EXVTBM00BXZ4ADDQ,,Deputado Federal,,,,,
Eduardo Bertoldi,15222,MDB,,,Deputado Estadual,,,,,
Elizeu Matos,15001,MDB,https://www.instagram.com/ELIZEUMATTOS_15?IGSH=MW9OEW8ZEWPRY3A3YW%3D%3D,,Deputado Estadual,,,,,
Emerson Maas,15670,MDB,https://www.instagram.com/EMERSONMAASOFICIAL/,,Deputado Estadual,,,,,
Emerson Stein,15100,MDB,https://www.instagram.com/EMERSONSTEINPB?IGSH=NHYXN3BTZ2LUBZV6&UTM_SOURCE=QR,,Deputado Estadual,,,,,
Fernando Krelling,15655,MDB,https://www.instagram.com/FERNANDO.KRELLING?IGSH=NHJSCNU4N3O4NXDT&UTM_SOURCE=QR,,Deputado Estadual,,,,,
Inajara Rodrigues,15905,MDB,,,Deputado Estadual,,,,,
Isaura,15234,MDB,https://www.instagram.com/ISAURAPROVIN?IGSH=EGJPDXU1AM1OEWXM,,Deputado Estadual,,,,,
Jerry Comper,15010,MDB,https://www.instagram.com/DEPUTADOJERRY?IGSH=MWTZYJM5NZG4EGJYYQ%3D%3D,,Deputado Estadual,,,,,
João Cobalchini,15600,MDB,https://www.instagram.com/JOAOCOBALCHINI,,Deputado Estadual,,,,,
Joao Matos,1598,MDB,https://www.instagram.com/joaomatos.sc/,,Deputado Federal,,,,,
Joma Fretta,1515,MDB,https://www.instagram.com/JOMAFRETTA?IGSH=MXDNOWDWEGS1ANJWAQ%3D%3D,,Deputado Federal,,,,,
Josi Menestrin,15844,MDB,https://www.instagram.com/JOSI_MENESTRINA?IGSH=EGJ2BM12OWI0NJC0,,Deputado Estadual,,,,,
Leatrice Bez,15104,MDB,https://www.instagram.com/LEATRICEBEZ?IGSH=CWDSNMOYOXV2MM83&UTM_SOURCE=QR,,Deputado Estadual,,,,,
Luciane Cooper,15715,MDB,https://www.instagram.com/LUCIANE.COOPER?IGSH=D2W4M2G4MG1QODJS,,Deputado Estadual,,,,,
Marcelo Achutti,15444,MDB,https://www.instagram.com/MARCELOACHUTTI?IGSH=MTZONDIXOHHLEHBVDW%3D%3D,,Deputado Estadual,,,,,
Marcos Both,15115,MDB,https://www.instagram.com/MARCOSBOTH_/,,Deputado Estadual,,,,,
Maria Jose,1550,MDB,https://www.instagram.com/MAZE_GATOS?IGSH=OWRPBZJ5AMXXN2K4,,Deputado Federal,,,,,
Marinêz Dos Idosos,15215,MDB,,,Deputado Estadual,,,,,
